 , T1, T2, T3, T4, T5, T6, T7, T8, T9
mmu-miR-152,0.500048675,0.755287243,0.98321129,1.106536112,1.041845523,1.229584226,1.246507414,1.334529731,1.339628267
mmu-let-7g,0.850668518,0.90389532,1.042131387,1.000641072,1.05627671,1.005574943,0.943181906,0.890291807,1.005393557
mmu-miR-24-2*,0.69075901,0.650680982,0.768966156,0.822423816,0.855806593,1.035162737,1.104065441,1.08818272,1.17974084
mmu-miR-466c-5p,1.427748299,1.228052493,1.06459833,1.022451846,1.031697212,1.004764006,0.972023767,0.937662151,0.837196553
mmu-miR-466d-5p,1.592786266,1.282060016,1.132798317,1.123324915,1.14508697,1.07667399,1.019799033,1.085936514,0.930443292
mmu-miR-34b-3p,0.933382035,0.961929099,0.962279632,0.915415597,1.03883995,0.983862499,0.963363298,1.008971565,1.059407732
mmu-miR-574-5p,1.05188117,1.133155044,1.119836552,1.022183012,1.059281216,1.02883342,0.965740584,1.064529924,0.964388861
mmu-miR-340-5p,1.321768444,1.027029002,0.853855659,0.903139575,0.926252024,0.966673843,0.877363061,0.915257341,0.955422914
mmu-miR-146b,0.633110547,0.505534156,0.67279269,0.852238198,1.167896118,1.39899185,1.390283464,1.495451258,1.500282545
mmu-miR-130a,0.992363461,0.928942492,1.107718696,1.073264664,1.118619591,1.214450317,1.196662226,1.199142079,1.178721108
mmu-miR-674,0.739612922,0.748694137,0.951893872,0.934311825,1.066567305,1.134284407,1.16991329,1.263331302,1.223420908
mmu-miR-31,0.905893347,0.979239522,1.112157638,1.151457836,1.171460971,1.185536284,1.203025323,1.162211862,1.151454513
mmu-miR-500,0.793108845,0.884827855,1.099602471,1.065357734,1.136110848,1.13881435,1.105790387,1.162178272,1.056759648
mmu-let-7b,0.603190884,0.809510494,0.933683299,0.945721758,0.936212846,1.074406538,1.092660209,1.165984325,1.094756676
mmu-miR-466e-5p,1.580507004,1.238332372,1.024179734,1.016148521,1.124555612,0.986971915,0.975822297,0.94903994,0.839564278
mmu-miR-297b-3p.43,1.349334632,1.128872053,0.954868737,1.014566301,0.895269029,0.823556099,0.835374553,0.802792301,0.835015839
mmu-miR-875-3p,1.51870475,1.240887485,1.268389599,1.186803198,1.083260415,1.046927852,0.839518407,0.843392421,0.720100222
mmu-miR-467e*,1.385295649,1.110061658,0.955428997,0.913126447,0.897334468,0.878623196,0.881496944,0.883661525,0.894463024
mmu-miR-125b-5p,0.556242595,0.652754661,0.872716464,0.992447396,1.055137628,1.146601235,1.180687353,1.141560984,1.037379804
mmu-miR-27b,0.748285129,0.885658359,0.938604856,1.024292,0.912695545,0.989969209,1.051628977,1.081497715,1.083325274
mmu-miR-801,1.607310883,1.325158359,1.185883617,1.082517472,1.052588058,1.050646069,1.011911703,0.984427694,0.949693742
mmu-miR-25,0.999695268,1.148504312,1.20713703,1.227511432,1.239246253,1.129590543,1.08832518,1.158967661,1.113971776
mmu-miR-106a,1.266222709,1.347767429,1.367459903,1.385343591,1.08791559,1.18371573,1.039979209,1.130529141,1.044742927
mmu-miR-362-3p,0.648115311,0.816592263,0.948105901,1.044108766,1.07742014,1.141152034,1.159230312,1.127731505,1.118795501
mmu-miR-872*,1.102853603,0.931954934,0.87216287,0.818615155,0.880100006,0.822480822,0.846616979,0.853876394,0.814126104
mmu-let-7i,0.753770511,0.977730099,1.013679086,1.144227171,1.142239642,1.164214379,1.10183671,1.092624241,1.060676057
mmu-let-7c,0.723481929,0.953920048,1.017922449,0.989422594,1.004978872,1.014384393,1.089427657,1.146421274,1.086614888
mmu-miR-23b,0.786163965,0.875612514,0.966466112,1.019216588,0.882292192,0.984628238,1.082130436,1.096999169,1.081448592
mmu-miR-466f-3p,1.675587439,1.190853969,1.024383456,0.961105574,0.975268144,0.850099323,0.827662711,0.825134127,0.801867155
mmu-miR-503*,1.150841118,0.958819861,0.943051462,0.950456282,1.001996459,1.022122337,0.91011071,0.934156007,0.853537021
mmu-miR-30a,0.598371525,0.648701705,0.886385886,0.996491519,0.933575225,1.044653179,1.060855896,1.081763465,1.037932548
mmu-miR-24-1*,1.036776755,0.859930923,0.870103365,1.026998231,0.993460302,1.079872824,1.071152405,1.116579038,1.137557078
mmu-miR-19a,1.700841347,1.463393009,1.448430519,1.444320752,1.100696162,1.116550871,0.844772303,0.92140891,0.848718988
mmu-let-7i,0.939909397,0.984692638,1.05810223,1.143056494,1.127703366,1.1854596,1.088451168,1.095048039,1.102856705
mmu-miR-24,0.778606223,0.864993359,0.973597025,1.02345364,1.000885428,1.127323916,1.175071357,1.178655567,1.166309986
mmu-miR-106b,1.212743117,1.292364901,1.34065627,1.310452265,1.122894321,1.069354389,0.97848814,0.988413204,0.968934475
mmu-miR-883a-5p,1.592159692,1.257085153,1.026116667,1.012118311,1.058551572,0.883382699,0.920504588,0.854592033,0.816061937
mmu-let-7a,0.768745009,0.9577374,1.055442137,1.033937593,1.004093797,1.060418111,1.036556065,1.03600116,1.065601616
mmu-let-7f,0.796892342,0.912440001,1.020831712,0.977670215,0.972377252,0.990248849,0.920365353,0.935677024,1.00877141
mmu-let-7a,0.734240959,0.93004987,0.962066652,0.911871683,0.995217909,0.967404835,0.984362852,0.975337479,1.009090971
mmu-miR-185,1.460026151,1.128933773,1.003820388,0.932648023,0.971541163,0.930582422,0.957438842,0.951995157,0.967922821
mmu-let-7d,0.780628019,0.875313428,0.923681278,0.912532002,0.962276145,1.00020889,0.960023825,1.005185992,1.022623033
mmu-miR-19b,1.227796352,1.194254934,1.423627104,1.500932361,1.256298199,1.258039786,0.968594718,1.058485609,0.967471468
mmu-let-7a*,1.178963132,1.106401295,1.158930524,1.140831338,1.132688874,1.089321375,1.083403454,1.171671158,1.118248158
mmu-let-7b*,0.990542122,0.897797313,0.984482215,1.005582053,1.003553041,1.070583979,0.945259634,0.986321627,1.042743817
